类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
flash.ui.Keyboard,,1,NUMPAD_SUBTRACT,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_SUBTRACT,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_ENTER,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_ENTER,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_END,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_END,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_MULTIPLY,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_MULTIPLY,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_PAGEUP,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_PAGEUP,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_BEGIN,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_BEGIN,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_PAGEDOWN,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_PAGEDOWN,,,,1,,,
flash.ui.Keyboard,,1,PAGE_DOWN,,,uint,flash.Keyboard,1,flash.Keyboard.PAGE_DOWN,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_PRINTSCREEN,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_PRINTSCREEN,,,,1,,,
flash.ui.Keyboard,,1,PAGE_UP,,,uint,flash.Keyboard,1,flash.Keyboard.PAGE_UP,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_SCROLLLOCK,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_SCROLLLOCK,,,,1,,,
flash.ui.Keyboard,,1,RIGHT,,,uint,flash.Keyboard,1,flash.Keyboard.RIGHT,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_PAUSE,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_PAUSE,,,,1,,,
flash.ui.Keyboard,,1,SHIFT,,,uint,flash.Keyboard,1,flash.Keyboard.SHIFT,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_SYSREQ,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_SYSREQ,,,,1,,,
flash.ui.Keyboard,,1,SPACE,,,uint,flash.Keyboard,1,flash.Keyboard.SPACE,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_BREAK,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_BREAK,,,,1,,,
flash.ui.Keyboard,,1,TAB,,,uint,flash.Keyboard,1,flash.Keyboard.TAB,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_RESET,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_RESET,,,,1,,,
